id,exercise_name,video_link,video_explanation,expereince_level,target_muscle,primary_muscle,secondary_muscle,category,laterality,exercise_classification,inserted_at,equipment
8457,Single Arm Kettlebell Bottoms Up Front Rack Low Switch Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Lower Body,Unilateral,Bodybuilding,2025-08-10 01:02:45.779018+00,Kettlebell
8458,Single Arm Kettlebell Overhead Alternating Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Lower Body,Unilateral,Bodybuilding,2025-08-10 01:02:45.779018+00,Kettlebell
8459,Single Arm Kettlebell Overhead Low Switch Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Lower Body,Unilateral,Bodybuilding,2025-08-10 01:02:45.779018+00,Kettlebell
8460,Tire Incline Push Up,https://youtu.be/sYpuz37bK2k?si=UpMtMbHU8GOboER_,,Beginner,Chest,Pectoralis Major,Triceps Brachii,Upper Body,Bilateral,Calisthenics,2025-08-10 01:02:45.779018+00,Tire
8461,Double Dumbbell Close Grip Decline Bench Press,,https://youtu.be/vpLJQad7knM?si=pIJlngHZuaHODElA,Beginner,Triceps,Triceps Brachii,Pectoralis Major,Upper Body,Bilateral,Bodybuilding,2025-08-10 01:02:45.779018+00,Dumbbell
8462,Bodyweight Eccentric Push Up,https://youtu.be/4JJB2m4AuO8?si=NqYITu6_1fcaAbn7,,Beginner,Chest,Pectoralis Major,Triceps Brachii,Upper Body,Bilateral,Calisthenics,2025-08-10 01:02:45.779018+00,Bodyweight
8463,Double Dumbbell Bicep Curl,https://youtu.be/HnHuhf4hEWY?si=WSqsCA9Khdbz3ag0,,Beginner,Biceps,Biceps Brachii,Brachialis,Upper Body,Bilateral,Bodybuilding,2025-08-10 01:02:45.779018+00,Dumbbell
8464,Cable Knee Hover Quadruped Fire Hydrant,,,Advanced,Glutes,Gluteus Maximus,Gluteus Medius,Lower Body,Unilateral,Unsorted*,2025-08-10 01:02:45.779018+00,Cable
8465,Double Dumbbell Incline Bench Bicep Curl,https://youtu.be/aG7CXiKxepw?si=FH8eUTIYzp_z04m0,,Beginner,Biceps,Biceps Brachii,Brachialis,Upper Body,Bilateral,Bodybuilding,2025-08-10 01:02:45.779018+00,Dumbbell
8466,Double Dumbbell Seated Hammer Curl,https://youtu.be/4hKyhFBeclI?si=OrpNWuwGzVfolESP,https://youtu.be/BbxA1QF3TxY?si=m2zHc3OC-vZ5FGpY,Beginner,Biceps,Biceps Brachii,Brachialis,Upper Body,Bilateral,Bodybuilding,2025-08-10 01:02:45.779018+00,Dumbbell
8467,Alternating Double Dumbbell Seated Hammer Curl,https://youtu.be/YW9citXbrQc?si=5VFsuGIAvF6WHm17,,Beginner,Biceps,Biceps Brachii,Brachialis,Upper Body,Unilateral,Bodybuilding,2025-08-10 01:02:45.779018+00,Dumbbell
8468,Double Dumbbell Incline Bench Hammer Curl,https://youtu.be/1Z6XiaBxwHQ?si=Da0lptFOFg_s0tyV,,Beginner,Biceps,Biceps Brachii,Brachialis,Upper Body,Bilateral,Bodybuilding,2025-08-10 01:02:45.779018+00,Dumbbell
8469,Single Arm Dumbbell Half Kneeling Windmill,https://youtu.be/c0LP3YIO4vY?si=w_DOEV2ERQmctiSb,https://youtu.be/tAmKMKeR2D4?feature=shared,Intermediate,Abdominals,Obliques,Rectus Abdominis,Core,Unilateral,Grinds,2025-08-10 01:02:45.779018+00,Dumbbell
8470,Double Dumbbell Windmill,,,Advanced,Abdominals,Obliques,Rectus Abdominis,Core,Unilateral,Grinds,2025-08-10 01:02:45.779018+00,Dumbbell
8471,Alternating Double Dumbbell Incline Bench Hammer Curl,https://youtu.be/Z_oWLq9uQZI?feature=shared,https://youtu.be/UmtLSH0s4v8?si=mi5RzLbOJtgscXNS,Beginner,Biceps,Biceps Brachii,Brachialis,Upper Body,Unilateral,Bodybuilding,2025-08-10 01:02:45.779018+00,Dumbbell
8472,Double Dumbbell Cyclist Thruster,https://youtu.be/qoswYkyJG-I?si=Jigh3MmNt7IIj-BA,,Novice,Quadriceps,Quadriceps Femoris,Anterior Deltoids,Full Body,Bilateral,Bodybuilding,2025-08-10 01:02:45.779018+00,Dumbbell
8473,Single Arm Kettlebell Bottoms Up Overhead Low Switch Cossack Squat,,,Advanced,Quadriceps,Quadriceps Femoris,Adductor Magnus,Lower Body,Unilateral,Bodybuilding,2025-08-10 01:02:45.779018+00,Kettlebell
8474,Alternating Double Dumbbell Cyclist Thruster,,,Novice,Quadriceps,Quadriceps Femoris,Anterior Deltoids,Full Body,Unilateral,Bodybuilding,2025-08-10 01:02:45.779018+00,Dumbbell
8475,Kettlebell Goblet Alternating Pistol Squat,,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Lower Body,Unilateral,Balance,2025-08-10 01:02:45.779018+00,Kettlebell
