id,exercise_name,video_link,video_explanation,expereince_level,target_muscle,primary_muscle,secondary_muscle,category,laterality,exercise_classification,inserted_at,equipment
8445,Single Arm Kettlebell Overhead Foot Elevated Ipsilateral Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Lower Body,Ipsilateral,Bodybuilding,2025-08-10 01:02:45.779018+00,Kettlebell
8446,Double Kettlebell Bottoms Up Front Rack Foot Elevated Cossack Squat,,,Advanced,Quadriceps,Quadriceps Femoris,Adductor Magnus,Lower Body,Unilateral,Bodybuilding,2025-08-10 01:02:45.779018+00,Kettlebell
8447,Single Arm Dumbbell Bent Over Row,https://youtu.be/ma__uqUlYmE?si=Yw6Iw4KOA3T7mJeL,,Beginner,Back,Latissimus Dorsi,Rhomboids,Upper Body,Unilateral,Bodybuilding,2025-08-10 01:02:45.779018+00,Dumbbell
8448,Single Arm Dumbbell Knee Supported Row,https://youtu.be/ZRSGpBUVcNw?si=x3MRv2xRNjCc6s42,,Beginner,Back,Latissimus Dorsi,,Upper Body,Unilateral,Bodybuilding,2025-08-10 01:02:45.779018+00,Dumbbell
8449,Double Kettlebell Bottoms Up Overhead Low Switch Cossack Squat,,,Advanced,Quadriceps,Quadriceps Femoris,Adductor Magnus,Lower Body,Unilateral,Bodybuilding,2025-08-10 01:02:45.779018+00,Kettlebell
8450,Double Kettlebell Bottoms Up Overhead Foot Elevated Cossack Squat,,,Advanced,Quadriceps,Quadriceps Femoris,Adductor Magnus,Lower Body,Unilateral,Bodybuilding,2025-08-10 01:02:45.779018+00,Kettlebell
8451,Double Kettlebell Front Rack Foot Elevated Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Lower Body,Unilateral,Bodybuilding,2025-08-10 01:02:45.779018+00,Kettlebell
8452,Double Kettlebell Overhead Low Switch Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Lower Body,Unilateral,Bodybuilding,2025-08-10 01:02:45.779018+00,Kettlebell
8453,Double Kettlebell Overhead Foot Elevated Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Lower Body,Unilateral,Bodybuilding,2025-08-10 01:02:45.779018+00,Kettlebell
8454,Dumbbell Pullover,https://youtu.be/owr5y-s6-Qk?si=gd2Nfg1PVMbahXjx,https://youtu.be/tcHaHIQStsk?si=PqW1mpuuLU_9M5qj,Beginner,Back,Latissimus Dorsi,Pectoralis Major,Upper Body,Bilateral,Bodybuilding,2025-08-10 01:02:45.779018+00,Dumbbell
8455,Single Arm Kettlebell Bottoms Up Front Rack Alternating Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Lower Body,Unilateral,Bodybuilding,2025-08-10 01:02:45.779018+00,Kettlebell
8456,Dumbbell Incline Bench Pullover,https://youtu.be/LQEag7MKXSs?si=vVcujNN4QVFLQ71H,,Beginner,Back,Latissimus Dorsi,Pectoralis Major,Upper Body,Bilateral,Bodybuilding,2025-08-10 01:02:45.779018+00,Dumbbell
