exercise_name,video_link,video_explanation,expereince_level,target_muscle,primary_muscle,secondary_muscle,equipment ,Category,Laterality,Primary Exercise Classification
Kettlebell Goblet Low Switch Cossack Squat,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Kettlebell,Lower Body,Unilateral,Bodybuilding
Kettlebell Low Hold Cossack Squat,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Kettlebell,Lower Body,Unilateral,Bodybuilding
Kettlebell Low Hold Alternating Cossack Squat,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Kettlebell,Lower Body,Unilateral,Bodybuilding
Single Arm Kettlebell Front Rack Ipsilateral Cossack Squat,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Kettlebell,Lower Body,Ipsilateral,Bodybuilding
Double Kettlebell Front Rack Carry,Video Demonstration,,Novice,Abdominals,Rectus Abdominis,,Kettlebell,Full Body,Bilateral,Unsorted*
Double Kettlebell Overhead Carry,Video Demonstration,,Intermediate,Shoulders,Anterior Deltoids,Obliques,Kettlebell,Full Body,Bilateral,Unsorted*
Double Kettlebell Bottoms Up Overhead Carry,Video Demonstration,,Advanced,Shoulders,Anterior Deltoids,Obliques,Kettlebell,Full Body,Bilateral,Unsorted*
Single Arm Kettlebell Overhead Carry,Video Demonstration,Video Explanation,Intermediate,Shoulders,Anterior Deltoids,Obliques,Kettlebell,Full Body,Unilateral,Unsorted*
Single Arm Kettlebell Bottoms Up Overhead Carry,Video Demonstration,,Advanced,Shoulders,Anterior Deltoids,Obliques,Kettlebell,Full Body,Unilateral,Unsorted*
Single Arm Kettlebell Half Kneeling Bent Press,Video Demonstration,,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,Kettlebell,Full Body,Unilateral,Grinds
Double Clubbell Order Step Up,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Clubbell,Lower Body,Unilateral,Bodybuilding
Double Clubbell Order Alternating Step Up,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Clubbell,Lower Body,Unilateral,Bodybuilding
Single Arm Clubbell Order Contralateral Step Up,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Clubbell,Lower Body,Contralateral,Bodybuilding
Single Arm Clubbell Order Ipsilateral Step Up,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Clubbell,Lower Body,Ipsilateral,Bodybuilding
Bar Advanced Tuck Back Lever,Video Demonstration,Video Explanation,Advanced,Abdominals,Rectus Abdominis,,Pull Up Bar,Full Body,Bilateral,Calisthenics
Bar Advanced Tuck Front Lever,,Video Explanation,Advanced,Abdominals,Rectus Abdominis,,Pull Up Bar,Full Body,Bilateral,Calisthenics
Alternating Double Dumbbell Sots Press,Video Demonstration,,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,Dumbbell,Upper Body,Unilateral,Bodybuilding
Double Dumbbell Seesaw Sots Press,,,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,Dumbbell,Upper Body,Unilateral,Bodybuilding
Suspension Single Leg Standing Bent Knee Mid Row,Video Demonstration,,Intermediate,Back,Latissimus Dorsi,,Suspension Trainer,Upper Body,Unilateral,Balance
Bar Circle Front Lever,Video Demonstration,,Expert,Abdominals,Rectus Abdominis,,Pull Up Bar,Full Body,Bilateral,Calisthenics
Suspension Single Leg Standing Bent Knee Low Row,Video Demonstration,,Intermediate,Back,Latissimus Dorsi,,Suspension Trainer,Upper Body,Unilateral,Balance
Single Arm Suspension Rotational Row,Video Demonstration,Video Explanation,Intermediate,Back,Latissimus Dorsi,Biceps Brachii,Suspension Trainer,Upper Body,Unilateral,Unsorted*
Alternating Double Indian Club Outer Heart Shaped Swing,Video Demonstration,,Intermediate,Shoulders,Posterior Deltoids,,Indian Club,Upper Body,Unilateral,Mobility
Double Indian Club Parallel Swing,Video Demonstration,,Intermediate,Shoulders,Posterior Deltoids,,Indian Club,Upper Body,Bilateral,Mobility
Suspension Feet Elevated Decline Push Up,Video Demonstration,,Intermediate,Chest,Pectoralis Major,Triceps Brachii,Suspension Trainer,Upper Body,Bilateral,Unsorted*
Bar Front Lever Pull to Inverted Hang,,,Expert,Abdominals,Rectus Abdominis,,Pull Up Bar,Full Body,Bilateral,Calisthenics
Bar Full Back Lever,Video Demonstration,,Expert,Abdominals,Rectus Abdominis,,Pull Up Bar,Full Body,Bilateral,Calisthenics
Bar Full Front Lever,Video Demonstration,,Expert,Abdominals,Rectus Abdominis,,Pull Up Bar,Full Body,Bilateral,Calisthenics
Slider Atomic Push Up,Video Demonstration,Video Explanation,Intermediate,Chest,Pectoralis Major,Rectus Abdominis,Sliders,Upper Body,Bilateral,Unsorted*
Slider Reach Push Up,Video Demonstration,,Intermediate,Chest,Pectoralis Major,Triceps Brachii,Sliders,Upper Body,Unilateral,Unsorted*
Bar Half Lay Back Lever,Video Demonstration,,Advanced,Abdominals,Rectus Abdominis,,Pull Up Bar,Full Body,Bilateral,Calisthenics
Bar Half Lay Front Lever,Video Demonstration,,Advanced,Abdominals,Rectus Abdominis,,Pull Up Bar,Full Body,Bilateral,Calisthenics
Bar Hanging Knee Raise,Video Demonstration,,Intermediate,Abdominals,Rectus Abdominis,Iliopsoas,Pull Up Bar,Core,Bilateral,Unsorted*
Bar Hanging Knees to Elbows,,Video Explanation,Advanced,Abdominals,Rectus Abdominis,Iliopsoas,Pull Up Bar,Core,Bilateral,Unsorted*
Bar Hanging Knees to Wrists,,,Advanced,Abdominals,Rectus Abdominis,Iliopsoas,Pull Up Bar,Core,Bilateral,Unsorted*
Bar Hanging Leg Raise,,,Advanced,Abdominals,Rectus Abdominis,Iliopsoas,Pull Up Bar,Core,Bilateral,Calisthenics
Bar Hanging Toes to Bar,Video Demonstration,Video Explanation,Advanced,Abdominals,Rectus Abdominis,Iliopsoas,Pull Up Bar,Core,Bilateral,Calisthenics
Bar Hanging Oblique Knee Raise,Video Demonstration,,Intermediate,Abdominals,Obliques,Rectus Abdominis,Pull Up Bar,Core,Bilateral,Unsorted*
Bar Inverted Hang,,Video Explanation,Advanced,Abdominals,Rectus Abdominis,,Pull Up Bar,Full Body,Bilateral,Calisthenics
Bar Hanging L Sit Flutter Kicks,Video Demonstration,,Intermediate,Hip Flexors,Iliopsoas,Rectus Abdominis,Pull Up Bar,Core,Unilateral,Unsorted*
Single Arm Kettlebell Half Kneeling Ipsilateral Overhead Press,Video Demonstration,,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,Kettlebell,Upper Body,Ipsilateral,Bodybuilding
Suspension Rotational Row,,,Intermediate,Back,Latissimus Dorsi,Biceps Brachii,Suspension Trainer,Upper Body,Bilateral,Unsorted*
Slider Alternating Reach Push Up,Video Demonstration,,Intermediate,Chest,Pectoralis Major,Triceps Brachii,Sliders,Upper Body,Unilateral,Unsorted*
Alternating Single Arm Landmine Z Press,,,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,Landmine,Upper Body,Unilateral,Bodybuilding
Single Arm Macebell Bull Whip,,,Intermediate,Shoulders,Posterior Deltoids,Rectus Abdominis,Macebell,Upper Body,Unilateral,Ballistics
Bar Single Leg Out Back Lever,Video Demonstration,,Advanced,Abdominals,Rectus Abdominis,,Pull Up Bar,Full Body,Unilateral,Calisthenics
Bar Single Leg Out Front Lever,Video Demonstration,,Advanced,Abdominals,Rectus Abdominis,,Pull Up Bar,Full Body,Unilateral,Calisthenics
Double Kettlebell Bottoms Up Push Press,,,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,Kettlebell,Upper Body,Bilateral,Unsorted*
Bar Straddle Back Lever,Video Demonstration,,Expert,Abdominals,Rectus Abdominis,,Pull Up Bar,Full Body,Bilateral,Calisthenics
Bar Straddle Front Lever,,,Expert,Abdominals,Rectus Abdominis,,Pull Up Bar,Full Body,Bilateral,Calisthenics
Alternating Double Kettlebell Bottoms Up Push Press,,,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,Kettlebell,Upper Body,Unilateral,Unsorted*
Alternating Double Kettlebell Bottoms Up Overhead Press,Video Demonstration,,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,Kettlebell,Upper Body,Unilateral,Unsorted*
Bar Tuck Back Lever,Video Demonstration,,Advanced,Abdominals,Rectus Abdominis,,Pull Up Bar,Full Body,Bilateral,Calisthenics
Double Kettlebell Bottoms Up Seesaw Overhead Press,Video Demonstration,,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,Kettlebell,Upper Body,Unilateral,Unsorted*
Bar Tuck Front Lever,Video Demonstration,,Advanced,Abdominals,Rectus Abdominis,,Pull Up Bar,Full Body,Bilateral,Calisthenics
Double Kettlebell Bottoms Up Half Kneeling Seesaw Overhead Press,,,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,Kettlebell,Upper Body,Unilateral,Bodybuilding
Ring Full Planche Push Up,,,Grand Master,Chest,Pectoralis Major,Triceps Brachii,Gymnastic Rings,Full Body,Bilateral,Calisthenics
Ring Straddle Planche Push Up,,,Grand Master,Chest,Pectoralis Major,Triceps Brachii,Gymnastic Rings,Full Body,Bilateral,Calisthenics
Bodyweight Fingertip Full Planche Push Up,Video Demonstration,,Grand Master,Chest,Pectoralis Major,Triceps Brachii,Bodyweight,Full Body,Bilateral,Calisthenics
Parallette Wall Supported Handstand Push Up,,,Expert,Shoulders,Anterior Deltoids,Triceps Brachii,Parallette Bars,Upper Body,Bilateral,Calisthenics
Ring Grip Push Up,Video Demonstration,,Expert,Chest,Pectoralis Major,Triceps Brachii,Gymnastic Rings,Upper Body,Bilateral,Calisthenics
Single Arm Barbell Overhead Press,Video Demonstration,,Expert,Shoulders,Anterior Deltoids,Triceps Brachii,Barbell,Upper Body,Unilateral,Bodybuilding
Ring Shoulder Stand,Video Demonstration,Video Explanation,Expert,Shoulders,Anterior Deltoids,Triceps Brachii,Gymnastic Rings,Upper Body,Bilateral,Calisthenics
Ring Strap Handstand,Video Demonstration,,Expert,Shoulders,Anterior Deltoids,Triceps Brachii,Gymnastic Rings,Upper Body,Bilateral,Calisthenics
Ring Handstand,,Video Explanation,Expert,Shoulders,Anterior Deltoids,Triceps Brachii,Gymnastic Rings,Upper Body,Bilateral,Calisthenics
Ring Strap Handstand Push Up,Video Demonstration,Video Explanation,Expert,Shoulders,Anterior Deltoids,Triceps Brachii,Gymnastic Rings,Upper Body,Bilateral,Calisthenics
Bodyweight Straddle Press Handstand ,Video Demonstration,,Expert,Shoulders,Anterior Deltoids,Triceps Brachii,Bodyweight,Upper Body,Bilateral,Calisthenics
Bodyweight Alternating Step Up,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Bodyweight,Lower Body,Unilateral,Calisthenics
Bodyweight Step Up,Video Demonstration,Video Explanation,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Bodyweight,Lower Body,Unilateral,Calisthenics
Macebell Order Cossack Squat,,,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Macebell,Lower Body,Unilateral,Bodybuilding
Macebell Order Alternating Cossack Squat,,,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Macebell,Lower Body,Unilateral,Bodybuilding
Macebell Order Low Switch Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Macebell,Lower Body,Unilateral,Bodybuilding
Macebell Order Foot Elevated Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Macebell,Lower Body,Unilateral,Bodybuilding
Bodyweight Pike Press Handstand,Video Demonstration,,Expert,Shoulders,Anterior Deltoids,Triceps Brachii,Bodyweight,Upper Body,Bilateral,Calisthenics
Parallette L Sit to Straddle Press Handstand,Video Demonstration,,Expert,Shoulders,Anterior Deltoids,Triceps Brachii,Parallette Bars,Upper Body,Bilateral,Calisthenics
Parallette L Sit to Pike Press Handstand,,Video Explanation,Expert,Shoulders,Anterior Deltoids,Triceps Brachii,Parallette Bars,Upper Body,Bilateral,Calisthenics
Heavy Sandbag Clean to Push Press,Video Demonstration,,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,Heavy Sandbag,Full Body,Bilateral,Unsorted*
Ring Tuck Front Lever Pull Up,Video Demonstration,Video Explanation,Expert,Back,Latissimus Dorsi,,Gymnastic Rings,Upper Body,Bilateral,Calisthenics
Ring Advanced Tuck Front Lever Pull Up,,,Expert,Back,Latissimus Dorsi,,Gymnastic Rings,Upper Body,Bilateral,Calisthenics
Double Kettlebell Suitcase Walking Lunge,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,Lower Body,Unilateral,Bodybuilding
Double Clubbell Order March,,,Novice,Hip Flexors,Iliopsoas,Rectus Abdominis,Clubbell,Core,Unilateral,Balance
Single Arm Clubbell Order March,,,Novice,Hip Flexors,Iliopsoas,Rectus Abdominis,Clubbell,Core,Unilateral,Balance
Ring Straddle Front Lever Pull Up,,,Expert,Back,Latissimus Dorsi,,Gymnastic Rings,Upper Body,Bilateral,Calisthenics
Single Arm Ring Push Up,Video Demonstration,,Expert,Chest,Pectoralis Major,Triceps Brachii,Gymnastic Rings,Upper Body,Unilateral,Calisthenics
Ring L Sit Muscle Up,Video Demonstration,Video Explanation,Expert,Back,Latissimus Dorsi,Triceps Brachii,Gymnastic Rings,Upper Body,Bilateral,Calisthenics
Ring Strict Muscle Up,Video Demonstration,Video Explanation,Expert,Back,Latissimus Dorsi,Triceps Brachii,Gymnastic Rings,Upper Body,Bilateral,Calisthenics
Single Arm Kettlebell Suitcase Walking Lunge,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Triceps Brachii,Kettlebell,Lower Body,Unilateral,Bodybuilding
Single Arm Kettlebell Front Rack Walking Lunge,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,Lower Body,Unilateral,Bodybuilding
Single Arm Kettlebell Overhead Walking Lunge,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,Lower Body,Unilateral,Bodybuilding
Single Arm Kettlebell Bottoms Up Overhead Walking Lunge,Video Demonstration,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,Lower Body,Unilateral,Bodybuilding
Single Arm Landmine Isometric Split Squat Shoulder Press,,,Expert,Shoulders,Anterior Deltoids,,Landmine,Upper Body,Unilateral,Balance
Single Arm Clubbell Inside Pendulum to Outside Pendulum,,Video Explanation,Intermediate,Abdominals,Obliques,Gluteus Maximus,Clubbell,Full Body,Unilateral,Ballistics
Clubbell Inside Pendulum,Video Demonstration,Video Explanation,Intermediate,Abdominals,Obliques,Gluteus Maximus,Clubbell,Full Body,Bilateral,Ballistics
Clubbell Inside Pendulum to Outside Pendulum,,Video Explanation,Intermediate,Abdominals,Obliques,Gluteus Maximus,Clubbell,Full Body,Bilateral,Ballistics
Single Arm Clubbell Outside Circle,,Video Explanation,Intermediate,Abdominals,Rectus Abdominis,Gluteus Maximus,Clubbell,Full Body,Unilateral,Ballistics
Alternating Double Clubbell Outside Circle,,Video Explanation,Intermediate,Abdominals,Rectus Abdominis,Gluteus Maximus,Clubbell,Full Body,Unilateral,Ballistics
Double Clubbell Inside Circle to Outside Circle,,Video Explanation,Intermediate,Abdominals,Rectus Abdominis,Gluteus Maximus,Clubbell,Full Body,Bilateral,Ballistics
Single Arm Kettlebell Bottoms Up Front Rack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,Lower Body,Bilateral,Bodybuilding
Kettlebell Romanian Deadlift,Video Demonstration,,Beginner,Hamstrings,Biceps Femoris,Gluteus Maximus,Kettlebell,Lower Body,Bilateral,Bodybuilding
Barbell Snatch Balance,Video Demonstration,Video Explanation,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Barbell,Full Body,Bilateral,Olympic Weightlifting 
Parallette Straddle Press to Handstand,Video Demonstration,,Expert,Shoulders,Anterior Deltoids,Triceps Brachii,Parallette Bars,Upper Body,Bilateral,Calisthenics
Double Dumbbell Suitcase March,Video Demonstration,,Novice,Hip Flexors,Iliopsoas,Rectus Abdominis,Dumbbell,Core,Unilateral,Balance
Single Arm Dumbbell Suitcase March,Video Demonstration,,Novice,Hip Flexors,Iliopsoas,Rectus Abdominis,Dumbbell,Core,Unilateral,Balance
Double Dumbbell Front Rack March,Video Demonstration,,Novice,Hip Flexors,Iliopsoas,Rectus Abdominis,Dumbbell,Core,Unilateral,Balance
Single Arm Dumbbell Front Rack March,Video Demonstration,,Novice,Hip Flexors,Iliopsoas,Rectus Abdominis,Dumbbell,Core,Unilateral,Balance
Double Dumbbell Overhead March,Video Demonstration,,Intermediate,Hip Flexors,Iliopsoas,Rectus Abdominis,Dumbbell,Core,Unilateral,Balance
Single Arm Dumbbell Overhead March,Video Demonstration,Video Explanation,Intermediate,Hip Flexors,Iliopsoas,Rectus Abdominis,Dumbbell,Core,Unilateral,Balance
Barbell Front Rack March,Video Demonstration,,Novice,Hip Flexors,Iliopsoas,Rectus Abdominis,Barbell,Core,Unilateral,Balance
Barbell Back Rack March,,Video Explanation,Novice,Hip Flexors,Iliopsoas,Rectus Abdominis,Barbell,Core,Unilateral,Balance
Barbell Back Rack Alternating Forward Lunge,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Barbell,Lower Body,Unilateral,Bodybuilding
Barbell Back Rack Alternating Reverse Lunge,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Barbell,Lower Body,Unilateral,Bodybuilding
Barbell Overhead Alternating Lateral Lunge,,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Barbell,Lower Body,Unilateral,Bodybuilding
Barbell Front Rack Alternating Lateral Lunge,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Barbell,Lower Body,Unilateral,Bodybuilding
Barbell Back Rack Alternating Lateral Lunge,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Barbell,Lower Body,Unilateral,Bodybuilding
Kettlebell Single Leg Romanian Deadlift,Video Demonstration,,Intermediate,Hamstrings,Biceps Femoris,Gluteus Maximus,Kettlebell,Lower Body,Unilateral,Bodybuilding
Single Arm Ring Eccentric Chin Up ,Video Demonstration,,Expert,Biceps,Biceps Brachii,Latissimus Dorsi,Gymnastic Rings,Upper Body,Unilateral,Calisthenics
Parallette Freestanding Handstand,Video Demonstration,Video Explanation,Expert,Shoulders,Anterior Deltoids,,Parallette Bars,Upper Body,Bilateral,Calisthenics
Ring Gironda Sternum Chin Up,Video Demonstration,Video Explanation,Expert,Biceps,Biceps Brachii,Latissimus Dorsi,Gymnastic Rings,Upper Body,Bilateral,Calisthenics
Single Arm Kettlebell Front Rack Contralateral Pistol Squat,,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,Lower Body,Contralateral,Balance
Single Arm Kettlebell Front Rack Ipsilateral Pistol Squat,Video Demonstration,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,Lower Body,Ipsilateral,Balance
Single Arm Kettlebell Bottoms Up Front Rack Contralateral Pistol Squat,,,Expert,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,Lower Body,Contralateral,Balance
Single Arm Kettlebell Bottoms Up Front Rack Ipsilateral Pistol Squat,,,Expert,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,Lower Body,Ipsilateral,Balance
Kettlebell Horn Grip Pistol Squat,Video Demonstration,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,Lower Body,Unilateral,Balance
Single Arm Kettlebell Overhead Contralateral Pistol Squat,,,Expert,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,Lower Body,Contralateral,Balance
Single Arm Kettlebell Overhead Ipsilateral Pistol Squat,,,Expert,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,Lower Body,Ipsilateral,Balance
Single Arm Kettlebell Bottoms Up Overhead Contralateral Pistol Squat,,,Expert,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,Lower Body,Contralateral,Balance
Single Arm Kettlebell Bottoms Up Overhead Ipsilateral Pistol Squat,,,Expert,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,Lower Body,Ipsilateral,Balance
Double Kettlebell L Sit,Video Demonstration,,Advanced,Abdominals,Rectus Abdominis,,Kettlebell,Core,Bilateral,Calisthenics
Double Kettlebell L Sit Lift Over,Video Demonstration,,Advanced,Abdominals,Rectus Abdominis,,Kettlebell,Core,Bilateral,Calisthenics
Single Arm Kettlebell Bottoms Up Windmill,Video Demonstration,,Advanced,Abdominals,Obliques,Rectus Abdominis,Kettlebell,Core,Unilateral,Grinds
Single Arm Kettlebell Bottoms Up Bent Press,,,Advanced,Shoulders,Anterior Deltoids,Triceps Brachii,Kettlebell,Full Body,Unilateral,Grinds
Single Arm Kettlebell Bottoms Up Half Kneeling Bent Press,,,Advanced,Shoulders,Anterior Deltoids,Triceps Brachii,Kettlebell,Full Body,Unilateral,Grinds
Ring L Sit Archer Pull Up,,,Expert,Back,Latissimus Dorsi,Biceps Brachii,Gymnastic Rings,Upper Body,Unilateral,Calisthenics
Double Kettlebell Overhead March,Video Demonstration,,Intermediate,Hip Flexors,Iliopsoas,Rectus Abdominis,Kettlebell,Core,Unilateral,Balance
Single Arm Kettlebell Overhead March,Video Demonstration,,Intermediate,Hip Flexors,Iliopsoas,Rectus Abdominis,Kettlebell,Core,Unilateral,Balance
Double Kettlebell Suitcase Alternating Forward Lunge,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,Lower Body,Unilateral,Bodybuilding
Double Kettlebell Suitcase Alternating Lateral Lunge,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,Lower Body,Unilateral,Bodybuilding
Double Kettlebell Front Rack Alternating Lateral Lunge,Video Demonstration,Video Explanation,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,Lower Body,Unilateral,Bodybuilding
Double Kettlebell Front Rack Alternating Forward Lunge,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,Lower Body,Unilateral,Bodybuilding
Double Kettlebell Front Rack Alternating Reverse Lunge,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,Lower Body,Unilateral,Bodybuilding
Double Kettlebell Bottoms Up Front Rack Alternating Lateral Lunge,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,Lower Body,Unilateral,Bodybuilding
Double Kettlebell Bottoms Up Front Rack Alternating Forward Lunge,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,Lower Body,Unilateral,Bodybuilding
Double Kettlebell Bottoms Up Front Rack Alternating Reverse Lunge,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,Lower Body,Unilateral,Bodybuilding
Double Dumbbell Suitcase Alternating Lateral Lunge,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Dumbbell,Lower Body,Unilateral,Bodybuilding
Double Dumbbell Front Rack Alternating Lateral Lunge,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Dumbbell,Lower Body,Unilateral,Bodybuilding
Double Dumbbell Front Rack Alternating Forward Lunge,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Dumbbell,Lower Body,Unilateral,Bodybuilding
Double Dumbbell Front Rack Alternating Reverse Lunge,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Dumbbell,Lower Body,Unilateral,Bodybuilding
Double Dumbbell Overhead Alternating Lateral Lunge,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Dumbbell,Lower Body,Unilateral,Bodybuilding
Double Dumbbell Overhead Alternating Forward Lunge,Video Demonstration,Video Explanation,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Dumbbell,Lower Body,Unilateral,Bodybuilding
Double Dumbbell Overhead Alternating Reverse Lunge,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Dumbbell,Lower Body,Unilateral,Bodybuilding
Single Arm Dumbbell Suitcase Alternating Forward Lunge,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Dumbbell,Lower Body,Unilateral,Bodybuilding
Single Arm Dumbbell Suitcase Alternating Reverse Lunge,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Dumbbell,Lower Body,Unilateral,Bodybuilding
Alternating Single Arm Dumbbell Low Hold Alternating Lateral Lunge,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Dumbbell,Lower Body,Unilateral,Bodybuilding
Single Arm Dumbbell Front Rack Alternating Lateral Lunge,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Dumbbell,Lower Body,Unilateral,Bodybuilding
Single Arm Dumbbell Front Rack Alternating Forward Lunge,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Dumbbell,Lower Body,Unilateral,Bodybuilding
Single Arm Dumbbell Front Rack Alternating Reverse Lunge,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Dumbbell,Lower Body,Unilateral,Bodybuilding
Single Arm Dumbbell Overhead Alternating Lateral Lunge,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Dumbbell,Lower Body,Unilateral,Bodybuilding
Single Arm Dumbbell Overhead Alternating Forward Lunge,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Dumbbell,Lower Body,Unilateral,Bodybuilding
Single Arm Dumbbell Overhead Alternating Reverse Lunge,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Dumbbell,Lower Body,Unilateral,Bodybuilding
Double Kettlebell Overhead Alternating Lateral Lunge,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,Lower Body,Unilateral,Bodybuilding
Double Kettlebell Overhead Alternating Forward Lunge,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,Lower Body,Unilateral,Bodybuilding
Double Kettlebell Overhead Alternating Reverse Lunge,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,Lower Body,Unilateral,Bodybuilding
Dumbbell Goblet Alternating Lateral Lunge,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Dumbbell,Lower Body,Unilateral,Bodybuilding
Dumbbell Goblet Alternating Forward Lunge,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Dumbbell,Lower Body,Unilateral,Bodybuilding
Dumbbell Goblet Alternating Reverse Lunge,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Dumbbell,Lower Body,Unilateral,Bodybuilding
Clubbell Order Alternating Lateral Lunge,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Clubbell,Lower Body,Unilateral,Bodybuilding
Clubbell Order Alternating Forward Lunge,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Clubbell,Lower Body,Unilateral,Bodybuilding
Clubbell Order Alternating Reverse Lunge,,Video Explanation,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Clubbell,Lower Body,Unilateral,Bodybuilding
