exercise_name,video_link,video_explanation,expereince_level,target_muscle,primary_muscle,secondary_muscle,equipment ,Category,Laterality,Primary Exercise Classification
Cable Single Leg Standing Bent Knee Hip External Rotation,Video Demonstration,,Novice,Glutes,Gluteus Maximus,Gluteus Medius,Cable,Lower Body,Unilateral,Unsorted*
Cable Hip Rotation,Video Demonstration,,Novice,Glutes,Gluteus Maximus,Gluteus Medius,Cable,Lower Body,Bilateral,Unsorted*
Barbell Bicep Curl,Video Demonstration,Video Explanation,Novice,Biceps,Biceps Brachii,Brachialis,Barbell,Upper Body,Bilateral,Bodybuilding
Barbell Overhead Press,Video Demonstration,Video Explanation,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,Barbell,Upper Body,Bilateral,Bodybuilding
Barbell Push Press,Video Demonstration,Video Explanation,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,Barbell,Upper Body,Bilateral,Unsorted*
Barbell Bent Over Row,Video Demonstration,,Novice,Back,Latissimus Dorsi,Rhomboids,Barbell,Upper Body,Bilateral,Bodybuilding
Single Arm Landmine Meadows Row,Video Demonstration,Video Explanation,Novice,Back,Latissimus Dorsi,,Landmine,Upper Body,Unilateral,Bodybuilding
Cable Straight Bar Seated Bicep Curl,Video Demonstration,,Novice,Biceps,Biceps Brachii,Brachialis,Cable,Upper Body,Bilateral,Bodybuilding
Cable Rope Skull Crusher,Video Demonstration,,Novice,Triceps,Triceps Brachii,Anconeus,Cable,Upper Body,Bilateral,Bodybuilding
Single Arm Dumbbell Seated Cuban Press,Video Demonstration,,Novice,Shoulders,Posterior Deltoids,Infraspinatus,Dumbbell,Upper Body,Unilateral,Unsorted*
Bodyweight Wall Facing Handstand,Video Demonstration,Video Explanation,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,Bodyweight,Upper Body,Bilateral,Calisthenics
Parallette Close Grip Push Up,Video Demonstration,Video Explanation,Novice,Triceps,Triceps Brachii,Pectoralis Major,Parallette Bars,Upper Body,Bilateral,Calisthenics
Parallette Wide Push Up,Video Demonstration,,Novice,Chest,Pectoralis Major,,Parallette Bars,Upper Body,Bilateral,Calisthenics
Barbell Front Raise,Video Demonstration,Video Explanation,Novice,Shoulders,Anterior Deltoids,Pectoralis Major,Barbell,Upper Body,Bilateral,Bodybuilding
Single Arm Cable Front Raise,Video Demonstration,,Novice,Shoulders,Anterior Deltoids,Pectoralis Major,Cable,Upper Body,Unilateral,Bodybuilding
Parallette Side Plank,Video Demonstration,,Intermediate,Abdominals,Obliques,Rectus Abdominis,Parallette Bars,Core,Unilateral,Calisthenics
Cable Straight Bar Front Raise,Video Demonstration,Video Explanation,Novice,Shoulders,Anterior Deltoids,Pectoralis Major,Cable,Upper Body,Bilateral,Bodybuilding
Barbell Close Grip Bench Press,Video Demonstration,Video Explanation,Novice,Triceps,Triceps Brachii,Pectoralis Major,Barbell,Upper Body,Bilateral,Bodybuilding
Single Arm Cable Bicep Curl,Video Demonstration,,Novice,Biceps,Biceps Brachii,Brachialis,Cable,Upper Body,Unilateral,Bodybuilding
Single Arm Cable Shotgun Row,Video Demonstration,Video Explanation,Novice,Back,Latissimus Dorsi,Biceps Brachii,Cable,Upper Body,Unilateral,Bodybuilding
Cable Half Kneeling Face Pull,Video Demonstration,Video Explanation,Novice,Shoulders,Posterior Deltoids,Infraspinatus,Cable,Upper Body,Bilateral,Unsorted*
Stability Ball Double Dumbbell W Raise,,Video Explanation,Novice,Shoulders,Posterior Deltoids,,Stability Ball,Upper Body,Bilateral,Unsorted*
Single Arm Kettlebell Bent Over Row,Video Demonstration,Video Explanation,Novice,Back,Latissimus Dorsi,Rhomboids,Kettlebell,Upper Body,Unilateral,Bodybuilding
Double Kettlebell Gorilla Row,Video Demonstration,Video Explanation,Novice,Back,Latissimus Dorsi,,Kettlebell,Upper Body,Unilateral,Bodybuilding
Kettlebell Alternating Halo,Video Demonstration,Video Explanation,Novice,Shoulders,Posterior Deltoids,Medial Deltoids,Kettlebell,Upper Body,Bilateral,Mobility
Single Arm Kettlebell Overhead Press,Video Demonstration,Video Explanation,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,Kettlebell,Upper Body,Unilateral,Bodybuilding
